No.,도메인,세부 도메인,의도 (Intention),문장
1600,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비가 너무 많이 와서 비상 모드 킬게.
1601,차선 제어,갓길 이동 정차,갓길 이동 명령,차를 갓길에 이동해 줘.
1602,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 기능을 꺼도 돼.
1603,차량 제어,긴급 차량,에스오에스차량 양보,긴급 차량 통행을 위해서 길 만들어 줘.
1604,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한지 지금 교통 상황 확인해.
1605,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,이 차량은 자율 주행이 가능한지 한 번 봐 줄 수 있어?
1606,주행 정보,주행 기록,자율 주행 주행 기록,최근에 자율 주행 기능한 날이 언젠인지 기록 확인해 줘.
1607,차량 제어,도어 제어,뒷자리 차문 닫기,운행 시작하면 뒷자리 차 문 잠가.
1608,비상 제어,차량 비상 정지,비상 정지 모드 켜기,자전거를 탄 사람이 차 쪽으로 튀어나오면 비상 정지 모드 해 줘.
1609,차량 제어,운전 제어,일자 따라 가기,앞에서 운전하는 차랑 계속 같은 길로 가.
1610,차량 제어,공조 제어,히터 끄기,히터 필요 없어.
1611,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드를 써 볼래.
1612,차선 제어,갓길 이동 정차,갓길 이동 명령,맨 오른쪽 갓길로 차 이동해 줘.
1613,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 빠져서 차 세워 줘.
1614,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 모드 켜서 운전 시작!
1615,차량 제어,공조 제어,에어컨 제어,에어컨 바람 위로 가게 해 줘.
1616,차선 제어,차선 변경,차선 변경,두 번째 차선으로 주행해 줘.
1617,차량 제어,공조 제어,에어컨 제어,에어컨 온도 살짝만 높게 해 줘.
1618,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행으로 지금 대신 운전해 줄 수 있어?
1619,차량 제어,공조 제어,히터 제어,지금 몇 도야 몇 도로 올려 줘.
1620,차량 제어,공조 제어,히터 제어,히터 바람 조금만 약하게 나오게 설정해 줘.
1621,차량 제어,운전 제어,일자 따라 가기,앞 차 놓치지 않도록 부탁해.
1622,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스부터 앞으로 지나갈 공간 만들어 줘.
1623,주행 정보,주행 기록,자율 주행 주행 기록,이번 달 자율 주행 주행 기록의 모든 것이 필요해.
1624,차량 제어,도어 제어,전체 차문 열기,내릴 테니 문 좀 열어 봐.
1625,차량 제어,운전 제어,일자 따라 가기,나의 앞 차를 따라 가 주렴.
1626,차량 제어,도어 제어,전체 차문 열기,차 문 열 때 모든 문 열리게 해.
1627,비상 제어,보험사 연락,자동 보험사 연락,자동 보험사 연락 시스템 설정해 줘.
1628,차선 제어,갓길 이동 정차,갓길 이동 명령,차를 잠깐 갓길로 옮겨 봐.
1629,차량 제어,운전 제어,일자 추월,앞에 가고 있는 차 추월해.
1630,차량 제어,공조 제어,히터 제어,히터 다시 이십육 도로 맞춰 줘.
1631,주행 정보,속도 확인,자율 주행 속도 확인,현재 이 차의 자율 주행 속도 말하라.
1632,차량 제어,공조 제어,히터 제어,히터 풍량 조절 좀 해 줘.
1633,차량 제어,긴급 차량,에스오에스차량 양보,차 옆으로 붙여서 구급차 지나가게 해.
1634,차량 제어,공조 제어,에어컨 제어,에어컨 방향 좌우로 움직여 줘.
1635,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사에 사고 접수해.
1636,주행 정보,주행 기록,자율 주행 주행 기록,대체 자율 주행으로 얼마나 달린 거니?
1637,주행 정보,주행 기록,자율 주행 주행 기록,이때까지 자율 주행으로 달린 거리 전부 합산해서 알려 줘.
1638,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤를 밟아 줘.
1639,차선 제어,갓길 이동 정차,갓길 이동 명령,차 세워야 하는데 갓길 어디야?
1640,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차문 개방 요청합니다.
1641,차량 제어,창문 제어,시동석 창문 열기,운전하게 운전석 창문 좀 열어봐.
1642,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길 임시 정차 실행.
1643,차선 제어,갓길 이동 정차,갓길 이동 명령,피곤한데 갓길에서 좀 쉬다 가자.
1644,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지 취소!
1645,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 삼분의 이 정도 내려 줄래?
1646,주행 정보,주행 기록,자율 주행 주행 기록,한 달간 자율 운행 몇 번 했는지 얘기해 줘.
1647,차량 제어,긴급 차량,에스오에스차량 양보,구급차 먼저 지나간 다음에 주행해.
1648,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 키자.
1649,차선 제어,갓길 이동 정차,갓길 이동 명령,고가에서 터널 가는 길에 잠시 갓길에 정차해 줘.
1650,주행 정보,주행 기록,자율 주행 주행 기록,방금 전 자율 주행에 대한 정보 알려 줘.
1651,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 멈추자.
1652,차량 제어,속도 제어,주행 속도 세팅,속도 시속 팔십 킬로미터로 맞추고 주행해.
1653,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 십 센치미터만 열어 줘.
1654,차량 제어,운전 제어,일자 추월,앞 차보다 앞서서 가자.
1655,차량 제어,운전 제어,일자 추월,앞 차 앞으로 위치 이동해.
1656,차량 제어,속도 제어,주행 속도 세팅,밖이 어두우니 천천히 주행해 줘.
1657,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 통풍 켜기.
1658,차량 제어,공조 제어,에어컨 제어,앞 좌석 에어컨만 켜.
1659,차량 제어,좌석 제어,좌석 통풍 끄기,좌석에 통풍 기능을 꺼 줘.
1660,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤에만 있으면 돼.
1661,차량 제어,운전 제어,일자 추월,앞에 한 대만 앞질러 줘.
1662,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 지원 부탁 해.
1663,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 모두 개방해 줘.
1664,차량 제어,도어 제어,조수석 차문 열기,조수석에 누구 타게 차 문 잠시 열어 놔.
1665,차량 제어,운전 제어,일자 따라 가기,앞 차 가는 길 따라 가.
1666,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 총 운행 거리 합계 내 줘.
1667,차량 제어,좌석 제어,좌석 통풍 끄기,통풍 시트 작동 해제.
1668,차량 제어,공조 제어,히터 제어,너무 더우니까 히터 줄여.
1669,차선 제어,차선 변경,차선 변경,다인승 차선으로 가자.
1670,차량 제어,도어 제어,전체 차문 열기,차 정차하면 문 다 열어 줘.
1671,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 잠시 자고 갈래.
1672,차량 제어,공조 제어,에어컨 제어,에어컨 팍팍 틀어 줘.
1673,차선 제어,차선 변경,왼쪽으로 차선 변경,뭔가 이 차선이 불안한데 왼쪽 차선으로 갔으면 좋겠어.
1674,차량 제어,속도 제어,주행 속도 세팅,오늘 운전 속력은 시속 육십으로 세팅 부탁해.
1675,차량 제어,도어 제어,조수석 차문 열기,조수석 차 문 지금 잠금 풀어 열어 줘.
1676,차량 제어,창문 제어,조수석 창문 닫기,추우니까 조수석 창문 완벽히 닫아 줄래?
1677,차량 제어,좌석 제어,좌석 온도 올리기,나 좀 추운데 시트 따뜻하게 해 줄래?
1678,차량 제어,공조 제어,히터 끄기,히터 모드 동작 그만.
1679,차량 제어,운전 제어,일자 추월,앞에 있는 차량을 넘어서 가 줘.
1680,차량 제어,좌석 제어,좌석 온도 제어,틀어져 있는 시트 모두 꺼 줄래?
1681,차량 제어,창문 제어,조수석 창문 닫기,환기는 충분하니 조수석 창 좀 닫아.
1682,차량 제어,공조 제어,히터 제어,히터 온풍만 살짝 틀어 줘.
1683,차량 제어,좌석 제어,좌석 온도 올리기,나 여기 자리 좀 데워 줘.
1684,차량 제어,공조 제어,히터 켜기,히터로 공기 따뜻하게 해.
1685,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 켜서 도와 줘.
1686,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길 보이면 일시 정차해.
1687,차량 제어,공조 제어,히터 제어,히터 온도 업 플리즈.
1688,주행 정보,속도 확인,자율 주행 속도 확인,지금 이 차량 몇 킬로미터로 자율 주행 중이니?
1689,차선 제어,차선 변경,오른쪽으로 차선 변경,앞에 차처럼 오른쪽 차선으로 가자.
1690,비상 제어,차량 비상 정지,비상 정지 모드 켜기,주황 불로 바뀌는데 비상 정지 모드 켜 줘.
1691,차량 제어,좌석 제어,좌석 온도 내리기,운전석 빼고 나머지 시트 전부 시원하게 만들어.
1692,차선 제어,차선 변경,왼쪽으로 차선 변경,깜빡이 켜고 왼쪽으로 들어가.
1693,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 가보자 일단.
1694,차량 제어,도어 제어,뒷자리 차문 열기,차 정차 하면 뒷차리 차 문 다 열어 줘.
1695,차량 제어,좌석 제어,좌석 통풍 켜기,통풍 기능 실행해 줘.
1696,차량 제어,운전 제어,일자 추월,선행 차보다 앞질러 갑시다.
1697,비상 제어,차량 비상 정지,비상 정지 모드 켜기,차량 비성 정지 모드로 실행.
1698,차량 제어,긴급 차량,에스오에스차량 양보,경찰차 올때까지 잠깐 서있어.
1699,차량 제어,운전 제어,일자 추월,운전 속도는 앞에 차보다 빨리해 줘.
1700,차선 제어,갓길 이동 정차,갓길 이동 명령,전방에 있는 갓길에 세워야 하는데 도와줄래?
1701,차량 제어,도어 제어,뒷자리 차문 열기,누가 탈거야 뒷자리 차 문 열어 둬.
1702,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 문 모두 잠궜으면 좋겠어.
1703,차량 제어,창문 제어,전체 창문 닫기,한꺼번에 창문 다 닫아.
1704,차량 제어,창문 제어,전체 창문 열기,공기 안 좋은 곳에 오면 자동으로 모든 창문 올려 줘.
1705,차량 제어,좌석 제어,좌석 통풍 켜기,보조석 시트 통풍하게 작동해.
1706,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 정차해야 할 일이 생겼어.
1707,차량 제어,속도 제어,주행 속도 세팅,주행 속도 팔십으로 고치고 싶어.
1708,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽 차선으로 옮겨 가자.
1709,차량 제어,긴급 차량,에스오에스차량 양보,구급차가 지나갈 수 있도록 운행해 줘.
1710,주행 정보,주행 기록,자율 주행 주행 기록,나 이번 주 자율 주행 기록 필요해 정리해 줘.
1711,차선 제어,갓길 이동 정차,갓길 이동 명령,차 세울 건데 갓길로 가자.
1712,차량 제어,도어 제어,조수석 차문 닫기,조수석이 문이 제대로 안 닫혔어 다시 닫아 줄래?
1713,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 가서 쉬자.
1714,주행 정보,주행 기록,자율 주행 주행 기록,이 월 이 일 두 시 자율 주행 주행 기록 말해 줘.
1715,비상 제어,차량 비상 정지,비상 정지 모드 켜기,지금 나에게 필요한 것은 비상 정지 모드야.
1716,주행 정보,주행 기록,자율 주행 주행 기록,오늘 자율 주행한 기록 계산해 줘.
1717,차량 제어,속도 제어,주행 속도 세팅,도로 상황에 알맞은 주행 속도를 추천해 줘.
1718,비상 제어,보험사 연락,자동 보험사 연락,비상 상황 판단되면 보험사 담당자 호출 해.
1719,차량 제어,운전 제어,일자 따라 가기,앞 차에 속도 맞추고 가는 게 나아.
1720,차량 제어,긴급 차량,에스오에스차량 양보,병원 근처니까 구급차 먼저 보내드리자.
1721,차량 제어,운전 제어,일자 추월,저 차를 앞질러 버리자
1722,차량 제어,공조 제어,에어컨 제어,에어컨 온도 아주 시원하게 바꿔.
1723,비상 제어,보험사 연락,자동 보험사 연락,보험사 전화 해서 여기로 오라고 전해 줘.
1724,주행 정보,속도 확인,자율 주행 속도 확인,지금 자율 주행 속도가 어떻게 되는지 알려 줘.
1725,차선 제어,갓길 이동 정차,갓길 이동 명령,앞에 보이는 갓길에 잠시 서 줘.
1726,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지 모드 취소해.
1727,차량 제어,공조 제어,히터 켜기,지금 히터 켜는 것도 좋을 거 같다.
1728,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 갈 수 있는 거리인지 계산 좀 해 줘.
1729,차량 제어,운전 제어,일자 추월,속도 높여서 내 앞에 있는 차 추월해 줘.
1730,차량 제어,도어 제어,전체 차문 열기,환기 시키 게 모든 차 문 다 열어 줘.
1731,주행 정보,주행 기록,자율 주행 주행 기록,요즘 자율 주행 얼마나 사용했는지 사용 기록 확인해 줄래?
1732,차량 제어,공조 제어,히터 제어,히터 최대 세기로.
1733,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 켜지도록 해 줘.
1734,주행 정보,주행 기록,자율 주행 주행 기록,최대 속도 낸 자율 주행 기록 알려 줘.
1735,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지 모드 죽여 줘.
1736,차량 제어,좌석 제어,좌석 온도 제어,뒷좌석 시트 열선 꺼 줘.
1737,차량 제어,공조 제어,히터 끄기,히터를 끄도록 해 줘.
1738,차량 제어,운전 제어,일자 추월,앞 차 넘어 가.
1739,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 허용된 도로인가요?
1740,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 잠깐 들어서 줘.
1741,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 빨리 켜 줘.
1742,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험 담당자를 불러 주세요.
1743,차량 제어,자율 주행 시작,자율 주행 모드 종료,이제는 자율 주행 모드 안 할래.
1744,차선 제어,차선 변경,차선 변경,차간거리 확보하고 차선 변경해 줘.
1745,비상 제어,보험사 연락,자동 보험사 연락,차 배터리 방전되면 다이렉트로 보험사랑 통화되게 해 줘.
1746,차량 제어,운전 제어,일자 따라 가기,앞 차 꼬리 물고 가 줘.
1747,차량 제어,운전 제어,일자 추월,앞에 차 보이지 저거 추월해.
1748,차량 제어,공조 제어,에어컨 제어,제일 낮은 온도로 설정해.
1749,차선 제어,갓길 이동 정차,갓길 이동 명령,잠깐 갓길에 대봐.
1750,차량 제어,운전 제어,일자 따라 가기,앞 차 차선 변경하기 전까지 따라 가 줘.
1751,비상 제어,보험사 연락,자동 보험사 연락,나에게 문제가 생기면 곧 바로 보험사로 연결 해.
1752,차량 제어,공조 제어,에어컨 끄기,에어컨 춥다 꺼 줘.
1753,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드 오프로 전환 부탁해.
1754,차량 제어,긴급 차량,에스오에스차량 양보,긴급 차량 내 앞으로 지나가게 해 줘.
1755,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 몇으로 세팅되어 있어?
1756,차량 제어,도어 제어,조수석 차문 닫기,조수석 문 잠글까?
1757,차선 제어,갓길 이동 정차,갓길 이동 명령,이백 미터 앞에 있는 갓길에 정차해.
1758,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 무슨 속도야?
1759,차량 제어,공조 제어,에어컨 제어,왜 이렇게 덥지 에어컨 온도 더 낮춰.
1760,차량 제어,도어 제어,조수석 차문 열기,운전석 문 열릴 때 조수석 문도 열어 줘.
1761,차선 제어,차선 변경,왼쪽으로 차선 변경,차를 좌측 차선으로 이동해 줘.
1762,주행 정보,주행 기록,자율 주행 주행 기록,최근 한달 동안 자율 주행으로 달린 거리 합산해서 알려 줘.
1763,차량 제어,자율 주행 시작,자율 주행 모드 시작,운전하기 귀찮으니까 자율 주행 모드 켜 줘
1764,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 닫고 잠금장치 걸어 놔.
1765,차량 제어,도어 제어,조수석 차문 닫기,조수석 도어 안 열리도록 설정해 줘.
1766,차량 제어,긴급 차량,에스오에스차량 양보,긴급 차량 보내게 길 양보해 줘.
1767,차선 제어,차선 변경,왼쪽으로 차선 변경,뒤 차 조심히 좌측으로 차선 변경해 줘.
1768,차량 제어,운전 제어,일자 추월,시속 올려서 저기 차 앞으로 이동해.
1769,차량 제어,속도 제어,주행 속도 세팅,이 도로의 제한 속도로 주행 속도를 세팅해 줘.
1770,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 이동 경로 요약해 줘.
1771,차량 제어,운전 제어,일자 따라 가기,앞 차 가는 데로 똑같이 가 줘.
1772,차량 제어,도어 제어,전체 차문 닫기,모든 차 문 다 잠가 줘.
1773,차선 제어,차선 변경,차선 변경,차선 변경 이 차선으로.
1774,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 차 붙이고 서 봐.
1775,차량 제어,공조 제어,히터 끄기,이제 히터는 필요 없어.
1776,차량 제어,운전 제어,일자 따라 가기,앞 차 하는 대로 운전해.
1777,차량 제어,좌석 제어,좌석 통풍 켜기,너무 더운데 시트 송풍 시스템 켜 줘.
1778,차량 제어,공조 제어,히터 제어,히터 온도 좀 올려.
1779,차선 제어,차선 변경,차선 변경,도로 상황 보고 차선 자동 변경해 줘.
1780,주행 정보,주행 기록,자율 주행 주행 기록,이번 주 요일별 자율 주행 평균 속도를 알려 줘.
1781,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,현재 달리는 도로 자율 주행 가능한지 알려 줘.
1782,비상 제어,보험사 연락,자동 보험사 연락,보험사에다 연락 좀 부탁 해.
1783,차량 제어,도어 제어,뒷자리 차문 닫기,뒷문 락 해.
1784,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행을 해도 되는 곳인지 확인 부탁해.
1785,비상 제어,보험사 연락,자동 보험사 연락,충격 감지 시에 보험사에 자동으로 전화해 줘.
1786,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 이동한 내역 모두 확인시켜 줘.
1787,차선 제어,차선 변경,차선 변경,옆 차선으로 움직여 줘.
1788,차량 제어,창문 제어,전체 창문 열기,에브리 윈도 오픈!
1789,차량 제어,공조 제어,히터 끄기,히터 이제 꺼도 돼.
1790,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행한 장소들 조회해 줘.
1791,차량 제어,긴급 차량,에스오에스차량 양보,구급차 지나가야 되니까 잠깐 멈췄다 가자.
1792,차선 제어,차선 변경,차선 변경,유턴하게 유턴 차선으로 가 줘.
1793,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 설정된 속도 알려 줘.
1794,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록에서 어제 거 알려 줘.
1795,비상 제어,보험사 연락,자동 보험사 연락,트러블 발생 시 보험사에 자동 연락 조취.
1796,차선 제어,차선 변경,오른쪽으로 차선 변경,우측 차로 비었다.
1797,차선 제어,차선 변경,왼쪽으로 차선 변경,지금부터는 왼쪽 차선 이용하도록 해.
1798,차량 제어,자율 주행 시작,자율 주행 모드 시작,오늘 하루종일 자율 주행 모드로 설정해 줘.
1799,차량 제어,운전 제어,일자 추월,앞 차 너무 느리다 내가 우리가 앞으로 가자.
1800,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비가 오면 비상 정지 모드를 자동으로 켜 줘.
1801,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,도로 상황이 자율 주행 모드를 사용하기에 적절한지 봐.
1802,차량 제어,공조 제어,에어컨 제어,에어컨 세기 더 강하게 부탁해.
1803,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 여기에서 가능해?
1804,차량 제어,속도 제어,주행 속도 세팅,평균 시속으로 맞춥니다.
1805,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 켜도 되는지 답해 줘.
1806,차량 제어,도어 제어,뒷자리 차문 닫기,뒤에 문 열려 있음 닫아 줘요.
1807,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 적합도 확인.
1808,차량 제어,도어 제어,전체 차문 닫기,전체 차문 다 걸어 잠궈.
1809,차선 제어,차선 변경,차선 변경,이 차로에 가.
1810,비상 제어,보험사 연락,자동 보험사 연락,사고 발견 시 보험사에 연락해 줘.
1811,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽으로 차선 변경 진행해.
1812,비상 제어,보험사 연락,자동 보험사 연락,보험사로 자동 연락 해 봐 줄래?
1813,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 표시해 주겠니?
1814,차량 제어,속도 제어,주행 속도 세팅,도로 주행할 때 육십 킬로미터에 맞춰서 주행 부탁해.
1815,차량 제어,좌석 제어,좌석 통풍 켜기,앞 좌석만 통풍기 켜 줘.
1816,차량 제어,좌석 제어,좌석 온도 올리기,좌석 열선 온도 높여 줘.
1817,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 이제 필요 없어.
1818,차량 제어,속도 제어,주행 속도 세팅,육십으로 주행 속도를 맞 춰.
1819,차량 제어,긴급 차량,에스오에스차량 양보,내가 늦게 가도 되니 구급차 양보해 줘.
1820,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한지 체크.
1821,차량 제어,도어 제어,조수석 차문 열기,조수석 차문 열고 있어.
1822,비상 제어,보험사 연락,자동 보험사 연락,타이어 바람 빠지면 보험사에 연락 해.
1823,차선 제어,갓길 이동 정차,갓길 이동 명령,계속 무슨 소리가 나는데 무슨 소린지 확인하게 갓길에 세워봐.
1824,비상 제어,보험사 연락,자동 보험사 연락,차 사고 났을 때 내 보험회사에 전화 해.
1825,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 여부 판단해.
1826,차량 제어,좌석 제어,좌석 통풍 제어,좌석 통풍 낮음으로 시작해 줘.
1827,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 차량 이동해.
1828,주행 정보,주행 기록,자율 주행 주행 기록,여기에서 강남까지 자율 주행으로 갔었는지 확인해 줘.
1829,주행 정보,주행 기록,자율 주행 주행 기록,이번 자율 주행 몇 분 걸렸어?
1830,비상 제어,보험사 연락,자동 보험사 연락,보험사에 즉시 연결 부탁할게요.
1831,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 차량 정비해야 해.
1832,차선 제어,차선 유지,차선 유지 모드 켜기,차선 이탈 경고음을 바꾸고 싶어.
1833,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤에 우리 차가 있어야 해.
1834,차량 제어,도어 제어,뒷자리 차문 닫기,차 뒷문 잠가 줘.
1835,차량 제어,긴급 차량,에스오에스차량 양보,경찰차 지나가니깐 우리가 사이드로 옮겨.
1836,차량 제어,공조 제어,히터 제어,차량 내부 따뜻하게 해 주라.
1837,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도가 지금 몇 킬로미터야?
1838,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 얼마로 운행 중인지 가르쳐 줘.
1839,차선 제어,차선 유지,차선 유지 모드 켜기,차선을 바꿀 때야.
1840,차량 제어,도어 제어,조수석 차문 닫기,조수석 쪽에 있는 문 닫아도 돼.
1841,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사에 콜 해.
1842,주행 정보,속도 확인,자율 주행 속도 확인,현재의 자율 주행 시속 알려 줘.
1843,차량 제어,공조 제어,에어컨 제어,에어컨 바람 세기 강하게 해 줘.
1844,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드는 이제 안해도 될 것 같아.
1845,차량 제어,공조 제어,에어컨 제어,에어컨 온도는 그대로 두고 파워 냉방만 꺼 줘.
1846,차량 제어,도어 제어,뒷자리 차문 닫기,아이들이 타고있으니 뒷자리 문 못 열게 해 줘.
1847,비상 제어,보험사 연락,자동 보험사 연락,비상시에 보험사가 알 수 있도록 해 줘.
1848,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 켜 놔.
1849,비상 제어,보험사 연락,자동 보험사 연락,보험사 자동 연락 부탁드립니다.
1850,차량 제어,공조 제어,히터 제어,히터 오토 모드로 전환해 줘.
1851,차량 제어,창문 제어,전체 창문 열기,지금부터 오분 동안만 모든 창문 열어 줘.
1852,주행 정보,주행 기록,자율 주행 주행 기록,최근 자율 주행한 곳은 어디야?
1853,차량 제어,운전 제어,일자 따라 가기,그대로 앞 차 따라 가 줘.
1854,차량 제어,속도 제어,주행 속도 세팅,차 육십 킬로미터로 운전해 줘.
1855,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,이곳에서 자율 주행해도 되는지 알려 줘.
1856,비상 제어,보험사 연락,자동 보험사 연락,보험사 자동 통화 연결을 설정합니다.
1857,차량 제어,운전 제어,일자 따라 가기,앞에가는 차 적당히 붙어서 주행해 줘.
1858,차량 제어,좌석 제어,좌석 통풍 켜기,운전석 통풍 잘 되게 해 줘.
1859,비상 제어,보험사 연락,자동 보험사 연락,보험사와 자동으로 콜 연결해 주겠니?
1860,비상 제어,보험사 연락,자동 보험사 연락,자동 보험사 연결 해 줄래?
1861,차량 제어,긴급 차량,에스오에스차량 양보,구급차가 빨리 지나갈 수 있게 길 열어 줘.
1862,차량 제어,운전 제어,일자 따라 가기,오십 미터 거리 유지하며 앞 차 따라 가.
1863,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 오프 모드로 변경해 줘.
1864,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 많이 했던 위치 알려 줘.
1865,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 켜도 되는지 교통 정보 확인해 줘.
1866,비상 제어,차량 비상 정지,비상 정지 모드 끄기,지금은 비상 정지 모드 꺼 줘.
1867,차량 제어,운전 제어,일자 추월,빨리 앞 차까지만 추월해.
1868,주행 정보,주행 기록,자율 주행 주행 기록,최근 한 달 동안 자율 주행으로 이동한 내역을 보여 줘.
1869,차량 제어,좌석 제어,좌석 통풍 끄기,좌석 통풍 스탑.
1870,차량 제어,도어 제어,뒷자리 차문 닫기,뒤쪽 문만 닫아 줄래?
1871,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 자동으로 내려.
1872,차량 제어,운전 제어,일자 추월,우리보다 앞으로 가는 차 추월해서 가.
1873,차선 제어,차선 유지,차선 유지 모드 켜기,차선 일정 유지 모드 작동.
1874,차량 제어,공조 제어,에어컨 제어,밖보다 시원하게 해 줘.
1875,차량 제어,좌석 제어,좌석 온도 제어,좌석 시트 난방 켜 줘.
1876,차량 제어,속도 제어,주행 속도 세팅,주행 속도는 최대한 육십킬로미터로 맞춰서 해 줘.
1877,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 되는 지 확인해 줘.
1878,차선 제어,차선 변경,왼쪽으로 차선 변경,앞 차가 너무 느려 왼쪽으로 차선 바꿔.
1879,차량 제어,창문 제어,전체 창문 열기,더우니까 전체 창문 다 열어 줘.
1880,차량 제어,공조 제어,히터 끄기,실내가 더우니 히터를 꺼 주렴.
1881,차량 제어,창문 제어,조수석 창문 닫기,십 분 뒤 조수석 창문 닫아.
1882,차량 제어,공조 제어,히터 제어,히터가 너무 강해서 건조해 내려 줘.
1883,차량 제어,공조 제어,히터 켜기,히터 가동을 온 해 줘.
1884,차량 제어,운전 제어,일자 따라 가기,앞 차 경로대로 같이 가.
1885,차량 제어,운전 제어,일자 추월,선행하는 차량 앞질러 줄래?
1886,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행은 여기까지.
1887,차선 제어,차선 변경,왼쪽으로 차선 변경,빨리 가야 하는데 왼쪽으로 차선 변경해서 가 줘.
1888,주행 정보,주행 기록,자율 주행 주행 기록,최근에 자율 주행 언제 언제 했었는지 알려 줘.
1889,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 방해 안되게 우리가 비키자.
